id,email,nickname,password,first_name,last_name,contact_number,address,registration_date,loyalty_points,tier,role
30,e51fbe23@example.com,14b9,placeholder30,Jarell,Camorongan,09403142772,"3545 Mabini St., Pasig City",2026-07-19 02:35:41.312132,14962,VIP,customer
31,64b5aa0d@example.com,9d5,placeholder31,Leo,Fababier,09383504232,"5115 Taft St., Taguig",2026-05-02 02:35:41.312132,14884,Loyal,customer
32,8a735f78@example.com,3d55,placeholder32,Joshua,Aceitunas,09317773739,"7084 Mabini St., Manila",2026-07-08 02:35:41.312132,4454,VIP,customer
33,acc68c96@example.com,f7e,placeholder33,Roman,Lopez,09886221617,"5925 Mabini St., Taguig",2026-01-09 02:35:41.312132,11410,New,customer
34,ad0d5608@example.com,0b10,placeholder34,Jonas,Fababier,09354588891,"8869 Taft St., Quezon City",2026-07-17 02:35:41.312132,1816,Loyal,customer
35,b4998b02@example.com,1435,placeholder35,Jonas,Sebido,09867116181,"7561 Mabini St., Quezon City",2025-06-11 02:35:41.312132,8959,Regular,customer
36,e9da8fa9@example.com,f4f,placeholder36,Lei,Jamot,09196677655,"9435 Taft St., Taguig",2025-05-09 02:35:41.312132,7274,Regular,customer
37,93543800@example.com,e88,placeholder37,Lei,Aceitunas,09402986429,"3148 Rizal St., Taguig",2026-07-07 02:35:41.312132,2126,Regular,customer
38,28179455@example.com,d818,placeholder38,Lance,Camorongan,09428723783,"9731 Bonifacio St., Makati City",2025-11-09 02:35:41.312132,13106,Regular,customer
39,da62bf85@example.com,e532f,placeholder39,Joshua,Jamot,09934392854,"4330 Rizal St., Manila",2026-07-10 02:35:41.312132,12259,VIP,customer
40,e77d0280@example.com,4f5b1,placeholder40,Joshua,Reyes,09754595030,"7818 Taft St., Pasig City",2026-01-19 02:35:41.312132,8476,Loyal,customer
41,0a6dd77e@example.com,7cdea,placeholder41,Lei,Jamot,09892594272,"3255 Rizal St., Taguig",2025-04-13 02:35:41.312132,14140,Loyal,customer
42,c65895d6@example.com,816,placeholder42,Lei,Jamot,09467387093,"3520 Taft St., Makati City",2025-12-29 02:35:41.312132,7249,Loyal,customer
43,b75e0f43@example.com,9842e,placeholder43,Jarell,Lopez,09502189464,"7567 Rizal St., Taguig",2026-06-26 02:35:41.312132,5821,New,customer
44,7888bbb9@example.com,0a35,placeholder44,Joshua,Aceitunas,09711763800,"5599 Rizal St., Taguig",2026-02-15 02:35:41.312132,13194,Regular,customer
45,39ee20c3@example.com,ba4,placeholder45,Lance,Sebido,09675790627,"7810 Taft St., Taguig",2026-06-29 02:35:41.312132,6424,VIP,customer
46,91a37c88@example.com,b73e,placeholder46,Jarell,Camorongan,09765684851,"1465 Mabini St., Pasig City",2025-10-12 02:35:41.312132,12482,VIP,customer
47,9593919b@example.com,53f5,placeholder47,Jarell,Aceitunas,09444654643,"1058 Taft St., Manila",2026-04-26 02:35:41.312132,14890,Regular,customer
48,a82c673d@example.com,88da,placeholder48,Jonas,Aceitunas,09106942824,"9452 Bonifacio St., Taguig",2026-01-26 02:35:41.312132,11919,Regular,customer
49,5edbf69f@example.com,5f13,placeholder49,Mhaine,Aceitunas,09803632215,"4545 Rizal St., Pasig City",2025-03-27 02:35:41.312132,8622,New,customer
50,b4f97554@example.com,c22,placeholder50,Mhaine,Dayawon,09544386114,"6072 Rizal St., Makati City",2025-09-23 02:35:41.312132,2660,Loyal,customer
51,8a535aae@example.com,7ce1c,placeholder51,Roman,Jamot,09436059859,"3907 Bonifacio St., Manila",2026-02-01 02:35:41.312132,4813,Regular,customer
52,84d602cf@example.com,f94b5,placeholder52,Roman,Fababier,09558820818,"5908 Taft St., Makati City",2025-09-16 02:35:41.312132,3256,VIP,customer
53,f2f88301@example.com,94981,placeholder53,Roman,Sebido,09435549875,"5125 Luna St., Quezon City",2026-01-30 02:35:41.312132,3698,VIP,customer
54,0b1f58de@example.com,4ee5,placeholder54,Joshua,Fababier,09282785620,"936 Bonifacio St., Taguig",2025-09-09 02:35:41.312132,5622,Regular,customer
55,d16f1d3b@example.com,d3cd,placeholder55,Lei,Reyes,09271460690,"5661 Taft St., Makati City",2026-03-09 02:35:41.312132,6241,Regular,customer
56,7318e24b@example.com,82b8c,placeholder56,Lei,Fababier,09562795250,"8110 Luna St., Quezon City",2026-04-25 02:35:41.312132,291,Regular,customer
57,dd914696@example.com,70f3,placeholder57,Lei,Camorongan,09161573255,"8306 Bonifacio St., Manila",2026-02-12 02:35:41.312132,4123,Regular,customer
58,8db51ab2@example.com,1407,placeholder58,Lei,Aceitunas,09201089801,"40 Bonifacio St., Taguig",2025-07-27 02:35:41.312132,2045,VIP,customer
59,17d80ee2@example.com,ef2,placeholder59,Jarell,Reyes,09475003351,"5938 Taft St., Makati City",2026-03-04 02:35:41.312132,9995,Regular,customer
60,e9655d18@example.com,e17,placeholder60,Leo,Dayawon,09922634162,"7091 Taft St., Taguig",2026-02-03 02:35:41.312132,4121,Regular,customer
61,532d6217@example.com,c86aa,placeholder61,Leo,Camorongan,09794425622,"9252 Rizal St., Quezon City",2025-09-20 02:35:41.312132,5201,Loyal,customer
62,1cef42c1@example.com,f59c,placeholder62,Roman,Lopez,09742507730,"3800 Mabini St., Taguig",2026-05-31 02:35:41.312132,14451,VIP,customer
63,bea654de@example.com,e84c3,placeholder63,Joshua,Lopez,09896718781,"7035 Rizal St., Taguig",2025-11-30 02:35:41.312132,8331,Regular,customer
64,6fc8255c@example.com,69b,placeholder64,Leo,Dayawon,09176374509,"159 Rizal St., Pasig City",2025-07-31 02:35:41.312132,8387,Loyal,customer
65,45c42a48@example.com,9530c,placeholder65,Joshua,Aceitunas,09204913026,"3566 Rizal St., Taguig",2025-06-28 02:35:41.312132,11169,New,customer
66,67da3335@example.com,f6b,placeholder66,Leo,Dayawon,09749032340,"3145 Taft St., Manila",2025-08-20 02:35:41.312132,8529,Regular,customer
67,950d5b42@example.com,841a3,placeholder67,Lei,Sebido,09603882447,"3100 Mabini St., Pasig City",2026-04-16 02:35:41.312132,6809,VIP,customer
68,cd344570@example.com,c3e6,placeholder68,Roman,Camorongan,09696106160,"6172 Rizal St., Manila",2025-05-17 02:35:41.312132,6577,Loyal,customer
69,0ec528dd@example.com,7ddb8,placeholder69,Leo,Fababier,09547530611,"9372 Luna St., Quezon City",2025-05-27 02:35:41.312132,3052,New,customer
70,3a5d78ec@example.com,63cd7,placeholder70,Joshua,Fababier,09817073957,"8400 Bonifacio St., Manila",2025-06-09 02:35:41.312132,3654,Regular,customer
71,35604019@example.com,90786,placeholder71,Jonas,Sebido,09131402585,"828 Taft St., Manila",2026-04-22 02:35:41.312132,9180,Loyal,customer
72,d25bd21b@example.com,380bb,placeholder72,Lance,Reyes,09204373547,"3664 Mabini St., Manila",2025-04-08 02:35:41.312132,13575,Loyal,customer
73,3950b2cc@example.com,a7e0,placeholder73,Lei,Fababier,09568083518,"5737 Rizal St., Quezon City",2025-10-25 02:35:41.312132,891,Loyal,customer
74,902be4de@example.com,b697,placeholder74,Leo,Lopez,09116873621,"861 Taft St., Taguig",2025-09-19 02:35:41.312132,14852,Loyal,customer
75,bc83a88b@example.com,7e0c,placeholder75,Joshua,Fababier,09587387985,"7499 Luna St., Taguig",2025-10-29 02:35:41.312132,8124,New,customer
76,1d2d7865@example.com,c80,placeholder76,Mhaine,Camorongan,09194533555,"9518 Mabini St., Taguig",2025-08-20 02:35:41.312132,4330,VIP,customer
77,3c50ed80@example.com,b5a4b,placeholder77,Jonas,Lopez,09152490902,"4340 Rizal St., Pasig City",2025-06-19 02:35:41.312132,14609,Regular,customer
78,3c63a34b@example.com,07c2f,placeholder78,Roman,Sebido,09934132139,"2335 Luna St., Pasig City",2025-04-18 02:35:41.312132,9530,Regular,customer
79,e2985813@example.com,2c24,placeholder79,Leo,Jamot,09536836370,"8856 Taft St., Manila",2025-04-18 02:35:41.312132,8265,VIP,customer
80,cb5b8ab8@example.com,ec3,placeholder80,Lei,Reyes,09927378140,"6532 Rizal St., Manila",2025-12-03 02:35:41.312132,14539,Loyal,customer
81,7352d707@example.com,78a8,placeholder81,Lei,Dayawon,09113031012,"7796 Rizal St., Quezon City",2025-05-11 02:35:41.312132,5396,Loyal,customer
82,e0bb0f7e@example.com,b41,placeholder82,Jonas,Dayawon,09307334453,"9958 Mabini St., Quezon City",2026-05-01 02:35:41.312132,919,VIP,customer
83,5b123cc0@example.com,f9a9,placeholder83,Lei,Camorongan,09869553765,"7264 Taft St., Taguig",2025-04-16 02:35:41.312132,11249,Loyal,customer
84,32cca2d6@example.com,fa17,placeholder84,Jonas,Jamot,09861253130,"1998 Bonifacio St., Pasig City",2026-07-10 02:35:41.312132,6526,Regular,customer
85,9c25f86e@example.com,9ba3,placeholder85,Jonas,Fababier,09751409761,"6605 Bonifacio St., Taguig",2025-10-09 02:35:41.312132,5070,Regular,customer
86,6d8cfcdf@example.com,358ca,placeholder86,Joshua,Jamot,09607431629,"1599 Bonifacio St., Quezon City",2025-12-27 02:35:41.312132,8728,Loyal,customer
87,96c2a3d1@example.com,79f,placeholder87,Mhaine,Sebido,09788154785,"270 Mabini St., Quezon City",2025-05-27 02:35:41.312132,6263,Loyal,customer
88,5ca4909f@example.com,a22da,placeholder88,Roman,Reyes,09294915874,"3887 Bonifacio St., Pasig City",2026-06-08 02:35:41.312132,8290,Loyal,customer
89,26141c04@example.com,1f0af,placeholder89,Leo,Lopez,09922037323,"8847 Bonifacio St., Manila",2026-08-04 02:35:41.312132,2661,VIP,customer
90,33080577@example.com,50d,placeholder90,Jonas,Aceitunas,09223909306,"8169 Mabini St., Quezon City",2026-03-22 02:35:41.312132,7490,Loyal,customer
91,e20c715a@example.com,59f,placeholder91,Lei,Dayawon,09797889642,"3741 Luna St., Pasig City",2026-01-20 02:35:41.312132,4621,Regular,customer
92,821e5d91@example.com,d0f51,placeholder92,Jarell,Reyes,09559850897,"3706 Mabini St., Quezon City",2026-03-23 02:35:41.312132,417,New,customer
93,ccccb8f1@example.com,e52,placeholder93,Jonas,Camorongan,09421628170,"1530 Taft St., Taguig",2026-07-01 02:35:41.312132,14763,New,customer
94,efa3f62d@example.com,b43,placeholder94,Mhaine,Camorongan,09774640247,"5352 Rizal St., Makati City",2025-10-12 02:35:41.312132,6817,VIP,customer
95,26787ae9@example.com,70b78,placeholder95,Joshua,Fababier,09937122615,"1943 Mabini St., Taguig",2026-01-23 02:35:41.312132,14714,Regular,customer
96,c5224980@example.com,8c1,placeholder96,Jonas,Jamot,09349139945,"7635 Bonifacio St., Manila",2026-05-10 02:35:41.312132,5694,VIP,customer
97,c4e876eb@example.com,44cb,placeholder97,Lance,Dayawon,09799742567,"8028 Taft St., Taguig",2025-12-28 02:35:41.312132,13970,VIP,customer
98,444aa136@example.com,783b,placeholder98,Lance,Jamot,09638108684,"3215 Luna St., Quezon City",2025-05-06 02:35:41.312132,13877,Loyal,customer
99,b6cab355@example.com,d05a,placeholder99,Roman,Sebido,09729469971,"383 Taft St., Taguig",2025-08-17 02:35:41.312132,5510,VIP,customer
100,ba3abb04@example.com,e5e83,placeholder100,Roman,Jamot,09196578049,"764 Luna St., Makati City",2026-05-03 02:35:41.312132,8671,Regular,customer
101,505b4e52@example.com,58f4,placeholder101,Mhaine,Reyes,09643003856,"5809 Rizal St., Quezon City",2025-09-29 02:35:41.312132,13270,Regular,customer
102,0a66ad78@example.com,8b3,placeholder102,Roman,Reyes,09781062017,"6886 Luna St., Taguig",2026-05-30 02:35:41.312132,14504,Loyal,customer
103,994c8796@example.com,f879,placeholder103,Leo,Fababier,09902096254,"598 Rizal St., Quezon City",2025-03-28 02:35:41.312132,14722,VIP,customer
104,7b9e55f0@example.com,d1479,placeholder104,Lance,Sebido,09442631398,"2869 Taft St., Taguig",2025-06-29 02:35:41.312132,1932,Loyal,customer
105,da4e4bac@example.com,1ab,placeholder105,Mhaine,Reyes,09704517547,"40 Taft St., Makati City",2025-09-18 02:35:41.312132,12843,Loyal,customer
106,f05a1b62@example.com,d3f12,placeholder106,Lance,Reyes,09334152548,"3429 Taft St., Quezon City",2026-06-21 02:35:41.312132,8957,New,customer
107,584ea498@example.com,8a85a,placeholder107,Mhaine,Fababier,09921587634,"4320 Mabini St., Pasig City",2025-05-16 02:35:41.312132,2760,Regular,customer
108,f45ac83c@example.com,5ba99,placeholder108,Lei,Camorongan,09304160033,"7519 Taft St., Quezon City",2026-03-20 02:35:41.312132,13363,Loyal,customer
109,28892e3e@example.com,fdb8,placeholder109,Mhaine,Dayawon,09716218476,"2627 Luna St., Manila",2026-05-26 02:35:41.312132,1576,VIP,customer
110,03465a65@example.com,2e9,placeholder110,Leo,Fababier,09904335188,"5723 Bonifacio St., Taguig",2026-04-23 02:35:41.312132,10261,Loyal,customer
111,e233460a@example.com,9738,placeholder111,Joshua,Sebido,09306000607,"9111 Mabini St., Makati City",2025-05-04 02:35:41.312132,12593,Loyal,customer
112,37b2c88a@example.com,6cc,placeholder112,Jarell,Aceitunas,09706018203,"280 Bonifacio St., Manila",2025-12-22 02:35:41.312132,10415,New,customer
113,c2ea9ced@example.com,ed0,placeholder113,Mhaine,Camorongan,09615533825,"9386 Mabini St., Taguig",2026-04-12 02:35:41.312132,14754,New,customer
114,01aceac2@example.com,37266,placeholder114,Joshua,Aceitunas,09952188962,"6006 Luna St., Manila",2026-04-17 02:35:41.312132,7233,New,customer
115,28aaa6f6@example.com,a7f,placeholder115,Jonas,Dayawon,09582723697,"1579 Taft St., Quezon City",2025-04-29 02:35:41.312132,3100,Loyal,customer
116,f3f5177b@example.com,847,placeholder116,Roman,Jamot,09878991380,"287 Rizal St., Makati City",2025-04-14 02:35:41.312132,14354,VIP,customer
117,19c95ca3@example.com,c2596,placeholder117,Joshua,Camorongan,09637053656,"5249 Mabini St., Manila",2025-08-10 02:35:41.312132,3687,Regular,customer
118,a2ede972@example.com,cb15,placeholder118,Lance,Camorongan,09807896372,"798 Bonifacio St., Pasig City",2025-08-31 02:35:41.312132,6498,VIP,customer
119,f18fe1d2@example.com,bf49e,placeholder119,Joshua,Sebido,09149045870,"9674 Bonifacio St., Taguig",2025-09-30 02:35:41.312132,1857,New,customer
120,21effa9a@example.com,2948b,placeholder120,Mhaine,Dayawon,09813948292,"4256 Luna St., Quezon City",2025-08-10 02:35:41.312132,9400,VIP,customer
121,f77fedf4@example.com,ad120,placeholder121,Mhaine,Dayawon,09456909511,"380 Taft St., Quezon City",2025-10-02 02:35:41.312132,13443,Loyal,customer
122,75d727c3@example.com,3d9,placeholder122,Mhaine,Dayawon,09634233441,"1935 Luna St., Manila",2025-08-28 02:35:41.312132,7000,New,customer
123,7167387f@example.com,5fb,placeholder123,Joshua,Sebido,09373031528,"6990 Mabini St., Taguig",2025-10-13 02:35:41.312132,52,VIP,customer
124,ea47dd81@example.com,e16c,placeholder124,Lei,Lopez,09863296601,"8109 Luna St., Makati City",2026-03-28 02:35:41.312132,8994,Regular,customer
125,cdf11b05@example.com,1cf,placeholder125,Jonas,Reyes,09318422347,"2329 Rizal St., Taguig",2025-12-29 02:35:41.312132,6553,New,customer
126,2d2f5de6@example.com,3e4,placeholder126,Jarell,Camorongan,09913213941,"9391 Luna St., Manila",2026-05-24 02:35:41.312132,11720,Loyal,customer
127,1df69dde@example.com,4ac,placeholder127,Jonas,Sebido,09251764958,"8869 Taft St., Pasig City",2025-11-05 02:35:41.312132,11318,Loyal,customer
128,845b8369@example.com,cc7,placeholder128,Lei,Fababier,09467449191,"2849 Taft St., Quezon City",2026-05-03 02:35:41.312132,11547,New,customer
129,a6360653@example.com,92bc6,placeholder129,Roman,Dayawon,09922808478,"6318 Taft St., Makati City",2025-06-29 02:35:41.312132,316,Regular,customer
130,75ceb0ef@example.com,a36,placeholder130,Leo,Sebido,09813105442,"3231 Mabini St., Pasig City",2025-12-05 02:35:41.312132,5851,Regular,customer
131,9a058c28@example.com,0ad0f,placeholder131,Jonas,Aceitunas,09849909106,"266 Rizal St., Pasig City",2025-08-10 02:35:41.312132,13727,VIP,customer
132,8ffbeef0@example.com,3c22,placeholder132,Mhaine,Sebido,09433757914,"4463 Mabini St., Quezon City",2025-05-12 02:35:41.312132,5674,New,customer
133,fd806033@example.com,7e7da,placeholder133,Jarell,Aceitunas,09699432602,"9363 Rizal St., Quezon City",2026-04-24 02:35:41.312132,6540,New,customer
134,b21464fe@example.com,8134c,placeholder134,Jarell,Dayawon,09698061087,"1536 Rizal St., Quezon City",2025-04-15 02:35:41.312132,13971,VIP,customer
135,b51c3e4f@example.com,299,placeholder135,Lei,Sebido,09305972772,"3445 Bonifacio St., Manila",2026-04-29 02:35:41.312132,13268,Loyal,customer
136,59f511d2@example.com,d98,placeholder136,Lei,Jamot,09727921027,"3444 Luna St., Makati City",2025-11-10 02:35:41.312132,3148,Regular,customer
137,99688336@example.com,7e8bc,placeholder137,Roman,Sebido,09847029839,"5990 Rizal St., Quezon City",2025-04-06 02:35:41.312132,11207,VIP,customer
138,6cc71b87@example.com,36952,placeholder138,Lei,Dayawon,09721086370,"1220 Bonifacio St., Taguig",2025-09-02 02:35:41.312132,868,New,customer
139,00333ede@example.com,46a,placeholder139,Mhaine,Sebido,09135976811,"8565 Mabini St., Quezon City",2025-06-26 02:35:41.312132,3243,New,customer
140,c35bf782@example.com,c8e4d,placeholder140,Lance,Aceitunas,09351200792,"5073 Luna St., Taguig",2026-07-30 02:35:41.312132,4071,New,customer
141,0eda09de@example.com,4c3b0,placeholder141,Jarell,Fababier,09183274801,"5774 Luna St., Manila",2026-03-15 02:35:41.312132,9056,Loyal,customer
142,3cb87da0@example.com,e5b,placeholder142,Joshua,Jamot,09463111148,"7226 Taft St., Makati City",2025-04-13 02:35:41.312132,8767,Loyal,customer
143,75f0fee8@example.com,c07f,placeholder143,Joshua,Dayawon,09225935292,"1455 Luna St., Pasig City",2025-09-03 02:35:41.312132,13256,New,customer
144,fdddb651@example.com,a0af1,placeholder144,Lance,Aceitunas,09843350752,"1108 Bonifacio St., Taguig",2025-09-30 02:35:41.312132,11991,VIP,customer
145,d2971146@example.com,69657,placeholder145,Mhaine,Sebido,09443180767,"1609 Rizal St., Pasig City",2026-04-17 02:35:41.312132,3993,New,customer
146,65acabd7@example.com,ec2a2,placeholder146,Joshua,Jamot,09108944894,"7464 Rizal St., Makati City",2025-04-20 02:35:41.312132,3869,New,customer
147,348ee419@example.com,4a2,placeholder147,Joshua,Sebido,09745829984,"7121 Mabini St., Manila",2025-12-22 02:35:41.312132,14330,New,customer
148,7d2379cb@example.com,4c647,placeholder148,Lance,Lopez,09215826173,"9128 Mabini St., Quezon City",2026-01-31 02:35:41.312132,11312,Loyal,customer
149,a0273f49@example.com,8f74,placeholder149,Leo,Lopez,09804356653,"8212 Rizal St., Pasig City",2026-07-27 02:35:41.312132,4996,New,customer
150,c06a9909@example.com,f3a,placeholder150,Joshua,Fababier,09248643664,"9630 Rizal St., Pasig City",2026-02-13 02:35:41.312132,5119,New,customer
151,3959bb4d@example.com,2609c,placeholder151,Lance,Fababier,09312565841,"3055 Taft St., Taguig",2026-04-06 02:35:41.312132,12547,Loyal,customer
152,1ba4d041@example.com,7920,placeholder152,Joshua,Dayawon,09464780612,"651 Rizal St., Manila",2026-06-10 02:35:41.312132,10655,Regular,customer
153,dd00b1dd@example.com,8ba,placeholder153,Leo,Aceitunas,09494991677,"1197 Mabini St., Quezon City",2025-10-19 02:35:41.312132,12758,Regular,customer
154,cf1f375c@example.com,d38,placeholder154,Joshua,Camorongan,09772109577,"2839 Rizal St., Quezon City",2025-07-05 02:35:41.312132,10043,VIP,customer
155,8261b4a3@example.com,b1777,placeholder155,Lei,Aceitunas,09958185102,"3710 Mabini St., Manila",2025-05-14 02:35:41.312132,6731,Loyal,customer
156,292eb1db@example.com,d607c,placeholder156,Joshua,Sebido,09249207822,"4895 Mabini St., Makati City",2026-05-19 02:35:41.312132,267,New,customer
157,7207352b@example.com,28f,placeholder157,Roman,Fababier,09676661498,"4340 Luna St., Quezon City",2026-03-22 02:35:41.312132,14016,Regular,customer
158,975cd441@example.com,1503,placeholder158,Leo,Jamot,09708306834,"5771 Mabini St., Quezon City",2025-09-22 02:35:41.312132,14335,Regular,customer
159,526a66b7@example.com,93c7,placeholder159,Roman,Dayawon,09941196719,"8239 Rizal St., Pasig City",2025-07-25 02:35:41.312132,3096,Loyal,customer
160,ce449471@example.com,406,placeholder160,Lei,Jamot,09578611617,"7905 Rizal St., Pasig City",2026-03-02 02:35:41.312132,2655,New,customer
161,1824b8f3@example.com,466,placeholder161,Jonas,Sebido,09731381983,"7709 Taft St., Taguig",2026-04-22 02:35:41.312132,4943,Regular,customer
162,ec677a7d@example.com,c2e,placeholder162,Lei,Lopez,09161303377,"2215 Taft St., Quezon City",2025-08-29 02:35:41.312132,10139,Regular,customer
163,b7f07814@example.com,140,placeholder163,Joshua,Dayawon,09393719891,"5565 Bonifacio St., Manila",2026-03-12 02:35:41.312132,6008,Loyal,customer
164,7ebe2da8@example.com,0d18,placeholder164,Jarell,Jamot,09896906617,"4817 Rizal St., Taguig",2025-07-21 02:35:41.312132,10661,VIP,customer
165,83956649@example.com,c7c,placeholder165,Jonas,Sebido,09981912254,"2186 Bonifacio St., Makati City",2026-02-09 02:35:41.312132,10815,Loyal,customer
166,429e2ae3@example.com,0301,placeholder166,Jonas,Jamot,09802019795,"5834 Mabini St., Quezon City",2025-07-10 02:35:41.312132,230,Loyal,customer
167,b53b84b1@example.com,63785,placeholder167,Lei,Jamot,09388575552,"367 Luna St., Pasig City",2025-08-22 02:35:41.312132,1822,Loyal,customer
168,ca270ab1@example.com,cdd65,placeholder168,Lei,Jamot,09437164055,"2716 Luna St., Quezon City",2025-12-28 02:35:41.312132,12461,Regular,customer
169,74347507@example.com,a16a,placeholder169,Roman,Dayawon,09646258861,"9341 Rizal St., Taguig",2025-06-12 02:35:41.312132,9079,Regular,customer
170,5d9ce9dc@example.com,584f,placeholder170,Leo,Reyes,09202176852,"2635 Bonifacio St., Makati City",2025-11-05 02:35:41.312132,7773,VIP,customer
171,cb5a9691@example.com,fd3c,placeholder171,Joshua,Lopez,09985148958,"9249 Bonifacio St., Makati City",2025-12-21 02:35:41.312132,8264,VIP,customer
172,004f0067@example.com,acc2,placeholder172,Lei,Reyes,09736018549,"9322 Mabini St., Quezon City",2025-12-16 02:35:41.312132,2704,Loyal,customer
173,92e6036f@example.com,7409,placeholder173,Lei,Camorongan,09761260392,"2010 Rizal St., Taguig",2025-10-05 02:35:41.312132,5197,New,customer
174,a6920d91@example.com,9684c,placeholder174,Lei,Aceitunas,09557680862,"8274 Taft St., Pasig City",2026-04-15 02:35:41.312132,616,VIP,customer
175,08c33ca2@example.com,b2e,placeholder175,Jarell,Lopez,09539944957,"1355 Taft St., Taguig",2026-03-06 02:35:41.312132,6632,VIP,customer
176,13c0c415@example.com,c95b8,placeholder176,Roman,Jamot,09689808651,"6377 Rizal St., Makati City",2025-07-04 02:35:41.312132,5309,Loyal,customer
177,d0ab63e8@example.com,f29,placeholder177,Roman,Reyes,09517899397,"3623 Taft St., Makati City",2026-05-24 02:35:41.312132,335,VIP,customer
